cpi_date,Time,Actual,Forecast,Previous
"Aug 10, 2023 ",0.3541666666666667,,,0.03
"Jul 12, 2023 ",0.3541666666666667,0.03,0.031,0.04
"Jun 13, 2023 ",0.3541666666666667,0.04,0.041,0.049
"May 10, 2023 ",0.3541666666666667,0.049,0.05,0.05
"Apr 12, 2023 ",0.3541666666666667,0.05,0.052,0.06
"Mar 14, 2023 ",0.3541666666666667,0.06,0.06,0.064
"Feb 14, 2023 ",0.3958333333333333,0.064,0.062,0.065
"Jan 12, 2023 ",0.3958333333333333,0.065,0.065,0.071
"Dec 13, 2022 ",0.3958333333333333,0.071,0.073,0.078
"Nov 10, 2022 ",0.3958333333333333,0.077,0.08,0.082
"Oct 13, 2022 ",0.3541666666666667,0.082,0.081,0.082
"Sep 13, 2022 ",0.3541666666666667,0.083,0.081,0.085
"Aug 10, 2022 ",0.3541666666666667,0.085,0.087,0.091
"Jul 13, 2022 ",0.3541666666666667,0.091,0.088,0.086
"Jun 10, 2022 ",0.3541666666666667,0.086,0.083,0.083
"May 11, 2022 ",0.3541666666666667,0.083,0.081,0.085
"Apr 12, 2022 ",0.3541666666666667,0.085,0.084,0.079
"Mar 10, 2022 ",0.3958333333333333,0.079,0.079,0.075
"Feb 10, 2022 ",0.3958333333333333,0.075,0.073,0.07
"Jan 12, 2022 ",0.3958333333333333,0.07,0.07,0.068
"Dec 10, 2021 ",0.3958333333333333,0.068,0.068,0.062
"Nov 10, 2021 ",0.3958333333333333,0.062,0.058,0.054
"Oct 13, 2021 ",0.3541666666666667,0.054,0.053,0.053
"Sep 14, 2021 ",0.3541666666666667,0.053,0.053,0.054
"Aug 11, 2021 ",0.3541666666666667,0.054,0.053,0.054
"Jul 13, 2021 ",0.3541666666666667,0.054,0.049,0.05
"Jun 10, 2021 ",0.3541666666666667,0.05,0.047,0.042
"May 12, 2021 ",0.3541666666666667,0.042,0.036,0.026
"Apr 13, 2021 ",0.3541666666666667,0.026,0.025,0.017
"Mar 10, 2021 ",0.3958333333333333,0.017,0.017,0.014
"Feb 10, 2021 ",0.3958333333333333,0.014,0.015,0.013
"Jan 13, 2021 ",0.3958333333333333,0.014,0.013,0.012
"Dec 10, 2020 ",0.3958333333333333,0.012,0.011,0.012
"Nov 12, 2020 ",0.3958333333333333,0.012,0.013,0.014
"Oct 13, 2020 ",0.3541666666666667,0.014,0.014,0.013
"Sep 11, 2020 ",0.3541666666666667,0.013,0.012,0.01
"Aug 12, 2020 ",0.3541666666666667,0.01,0.008,0.006
"Jul 14, 2020 ",0.3541666666666667,0.006,0.006,0.001
"Jun 10, 2020 ",0.3541666666666667,0.001,0.002,0.003
"May 12, 2020 ",0.3541666666666667,0.003,0.004,0.015
"Apr 10, 2020 ",0.3541666666666667,0.015,0.016,0.023
"Mar 11, 2020 ",0.3541666666666667,0.023,0.022,0.025
"Feb 13, 2020 ",0.3958333333333333,0.025,0.024,0.023
"Jan 14, 2020 ",0.3958333333333333,0.023,0.023,0.021
"Dec 11, 2019 ",0.3958333333333333,0.021,0.02,0.018
"Nov 13, 2019 ",0.3958333333333333,0.018,0.017,0.017
"Oct 10, 2019 ",0.3541666666666667,0.017,0.018,0.017
"Sep 12, 2019 ",0.3541666666666667,0.017,0.018,0.018
"Aug 13, 2019 ",0.3541666666666667,0.018,0.017,0.016
"Jul 11, 2019 ",0.3541666666666667,0.016,0.016,0.018
"Jun 12, 2019 ",0.3541666666666667,0.018,0.019,0.02
"May 10, 2019 ",0.3541666666666667,0.02,0.021,0.019
"Apr 10, 2019 ",0.3541666666666667,0.019,0.018,0.015
"Mar 12, 2019 ",0.3541666666666667,0.015,0.016,0.016
"Feb 13, 2019 ",0.3958333333333333,0.016,0.015,0.019
"Jan 11, 2019 ",0.3958333333333333,0.019,0.019,0.022
"Dec 12, 2018 ",0.3958333333333333,0.022,0.022,0.025
"Nov 14, 2018 ",0.3958333333333333,0.025,0.025,0.023
"Oct 11, 2018 ",0.3541666666666667,0.023,0.024,0.027
"Sep 13, 2018 ",0.3541666666666667,0.027,0.028,0.029
"Aug 10, 2018 ",0.3541666666666667,0.029,0.03,0.029
"Jul 12, 2018 ",0.3541666666666667,0.029,0.029,0.028
"Jun 12, 2018 ",0.3541666666666667,0.028,0.027,0.025
"May 10, 2018 ",0.3541666666666667,0.025,0.025,0.024
"Apr 11, 2018 ",0.3541666666666667,0.024,0.024,0.022
"Mar 13, 2018 ",0.3541666666666667,0.022,0.022,0.021
"Feb 14, 2018 ",0.3958333333333333,0.021,0.019,0.021
"Jan 12, 2018 ",0.3958333333333333,0.021,0.021,0.022
"Dec 13, 2017 ",0.3958333333333333,0.022,0.022,0.02
"Nov 15, 2017 ",0.3958333333333333,0.02,0.02,0.022
"Oct 13, 2017 ",0.3541666666666667,0.022,0.023,0.019
"Sep 14, 2017 ",0.3541666666666667,0.019,0.018,0.017
"Aug 11, 2017 ",0.3541666666666667,0.017,0.018,0.016
"Jul 14, 2017 ",0.3541666666666667,0.016,0.017,0.019
"Jun 14, 2017 ",0.3541666666666667,0.019,0.02,0.022
"May 12, 2017 ",0.3541666666666667,0.022,0.023,0.024
"Apr 14, 2017 ",0.3541666666666667,0.024,0.026,0.027
"Mar 15, 2017 ",0.3541666666666667,0.027,0.027,0.025
"Feb 15, 2017 ",0.3958333333333333,0.025,0.024,0.021
"Jan 18, 2017 ",0.3958333333333333,0.021,0.021,0.017
"Dec 15, 2016 ",0.3958333333333333,0.017,0.017,0.016
"Nov 17, 2016 ",0.3958333333333333,0.016,0.016,0.015
"Oct 18, 2016 ",0.3541666666666667,0.015,0.015,0.011
"Sep 16, 2016 ",0.3541666666666667,0.011,0.01,0.008
"Aug 16, 2016 ",0.3541666666666667,0.008,0.009,0.01
"Jul 15, 2016 ",0.3541666666666667,0.01,0.011,0.01
"Jun 16, 2016 ",0.3541666666666667,0.01,0.011,0.011
"May 17, 2016 ",0.3541666666666667,0.011,0.011,0.009
"Apr 14, 2016 ",0.3541666666666667,0.009,0.011,0.01
"Mar 16, 2016 ",0.3541666666666667,0.01,0.009,0.014
"Feb 19, 2016 ",0.3958333333333333,0.014,0.013,0.007
"Jan 20, 2016 ",0.3958333333333333,0.007,0.008,0.005
"Dec 15, 2015 ",0.3958333333333333,0.005,0.004,0.002
"Nov 17, 2015 ",0.3958333333333333,0.002,0.001,0.0
"Oct 15, 2015 ",0.3541666666666667,0.0,-0.001,0.002
"Sep 16, 2015 ",0.3541666666666667,0.002,0.002,0.002
"Aug 19, 2015 ",0.3541666666666667,0.002,0.002,0.001
"Jul 17, 2015 ",0.3541666666666667,0.001,0.001,0.0
"Jun 18, 2015 ",0.3541666666666667,0.0,0.0,-0.002
"May 22, 2015 ",0.3541666666666667,-0.002,-0.001,-0.001
"Apr 17, 2015 ",0.3541666666666667,-0.001,0.001,0.0
"Mar 24, 2015 ",0.3541666666666667,0.0,-0.001,-0.001
