earnings_date,EPS Estimate,Reported EPS,Surprise(%),ticker
2024-05-02,,,,AAPL
2024-01-31,,,,AAPL
2023-10-25,,,,AAPL
2023-08-03,1.19,,,AAPL
2023-05-04,1.43,1.52,0.0603,AAPL
2023-02-02,1.94,1.88,-0.0288,AAPL
2022-10-27,1.27,1.29,0.0155,AAPL
2022-07-28,1.16,1.2,0.0325,AAPL
2022-04-28,1.43,1.52,0.0644,AAPL
2022-01-27,1.89,2.1,0.1117,AAPL
2021-10-28,1.24,1.24,0.003,AAPL
2021-07-27,1.01,1.3,0.2912,AAPL
2021-04-28,0.99,1.4,0.4189,AAPL
2021-01-27,1.41,1.68,0.1902,AAPL
2020-10-29,0.7,0.73,0.0425,AAPL
2020-07-30,0.51,0.65,0.2625,AAPL
2020-04-30,0.57,0.64,0.1278,AAPL
2020-01-28,1.14,1.25,0.0973,AAPL
2019-10-30,0.71,0.76,0.0671,AAPL
2019-07-30,0.52,0.55,0.039,AAPL
2019-04-30,0.59,0.62,0.0418,AAPL
2019-01-29,1.04,1.05,0.0031,AAPL
2018-11-01,0.7,0.73,0.0455999999999999,AAPL
2018-07-31,0.55,0.59,0.0727,AAPL
2018-05-01,0.67,0.68,0.0214,AAPL
2018-02-01,0.96,0.97,0.0087,AAPL
2017-11-02,0.47,0.52,0.1085,AAPL
2017-08-01,0.39,0.42,0.0626999999999999,AAPL
2017-05-02,0.5,0.53,0.0397,AAPL
2017-01-31,0.8,0.84,0.0455,AAPL
2016-10-25,0.41,0.42,0.0084,AAPL
2016-07-26,0.35,0.36,0.026,AAPL
2016-04-26,0.5,0.48,-0.0489,AAPL
2016-01-26,0.81,0.82,0.0163,AAPL
2015-10-27,0.47,0.49,0.0426,AAPL
2015-07-21,0.45,0.46,0.0213,AAPL
2015-04-27,0.54,0.58,0.0793,AAPL
2015-01-27,0.65,0.77,0.1752,AAPL
2014-10-20,0.33,0.36,0.088,AAPL
2014-07-22,0.31,0.32,0.0398,AAPL
2014-04-23,0.36,0.42,0.1399,AAPL
2014-01-27,0.5,0.52,0.0308,AAPL
2013-10-28,0.28,0.3,0.0382,AAPL
2013-07-23,0.26,0.27,0.0204999999999999,AAPL
2013-04-23,0.36,0.36,0.0088,AAPL
2013-01-23,0.48,0.49,0.0252,AAPL
2012-10-25,0.31,0.31,-0.0092,AAPL
2012-07-24,0.37,0.33,-0.1012,AAPL
2012-04-24,0.36,0.44,0.2256,AAPL
2012-01-24,0.36,0.5,0.3646,AAPL
2011-10-18,0.26,0.25,-0.0454,AAPL
2011-07-19,0.21,0.28,0.3358,AAPL
2011-04-20,0.19,0.23,0.1909,AAPL
2011-01-18,0.19,0.23,0.1903,AAPL
2010-10-18,0.15,0.17,0.1365,AAPL
2010-07-20,0.11,0.13,0.1268,AAPL
2010-04-20,0.09,0.12,0.3611,AAPL
2010-01-25,0.07,0.13,0.76,AAPL
